export_schema_version,export_date,data_as_of,rank,login,owner_type,repo_count,current_stars_sum,rank_value,url,source_view,license,attribution
1,2026-08-14,2026-08-14T09:43:01.993Z,1,microsoft,Organization,73,2515894,2515894,https://gitstarclub.com/o/microsoft,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,2,google,Organization,44,942085,942085,https://gitstarclub.com/o/google,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,3,openai,Organization,22,708386,708386,https://gitstarclub.com/o/openai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,4,apache,Organization,29,702010,702010,https://gitstarclub.com/o/apache,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,5,sindresorhus,User,8,671749,671749,https://gitstarclub.com/o/sindresorhus,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,6,codecrafters-io,Organization,1,539577,539577,https://gitstarclub.com/o/codecrafters-io,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,7,alibaba,Organization,25,535137,535137,https://gitstarclub.com/o/alibaba,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,8,huggingface,Organization,19,533829,533829,https://gitstarclub.com/o/huggingface,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,9,anthropics,Organization,9,531190,531190,https://gitstarclub.com/o/anthropics,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,10,vuejs,Organization,11,505942,505942,https://gitstarclub.com/o/vuejs,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,11,react,Organization,4,495793,495793,https://gitstarclub.com/o/react,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,12,freeCodeCamp,Organization,2,493294,493294,https://gitstarclub.com/o/freeCodeCamp,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,13,github,Organization,11,479355,479355,https://gitstarclub.com/o/github,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,14,public-apis,Organization,1,456491,456491,https://gitstarclub.com/o/public-apis,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,15,nilbuild,User,3,439427,439427,https://gitstarclub.com/o/nilbuild,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,16,donnemartin,User,4,438835,438835,https://gitstarclub.com/o/donnemartin,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,17,karpathy,User,13,425254,425254,https://gitstarclub.com/o/karpathy,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,18,TheAlgorithms,Organization,7,425201,425201,https://gitstarclub.com/o/TheAlgorithms,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,19,deepseek-ai,Organization,9,405692,405692,https://gitstarclub.com/o/deepseek-ai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,20,EbookFoundation,Organization,1,394380,394380,https://gitstarclub.com/o/EbookFoundation,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,21,facebookresearch,Organization,19,390061,390061,https://gitstarclub.com/o/facebookresearch,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,22,openclaw,Organization,1,386266,386266,https://gitstarclub.com/o/openclaw,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,23,facebook,Organization,18,376835,376835,https://gitstarclub.com/o/facebook,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,24,vercel,Organization,11,375875,375875,https://gitstarclub.com/o/vercel,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,25,jwasham,User,1,358694,358694,https://gitstarclub.com/o/jwasham,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,26,tensorflow,Organization,6,339051,339051,https://gitstarclub.com/o/tensorflow,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,27,vinta,User,1,313886,313886,https://gitstarclub.com/o/vinta,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,28,awesome-selfhosted,Organization,1,312548,312548,https://gitstarclub.com/o/awesome-selfhosted,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,29,Tencent,Organization,18,300739,300739,https://gitstarclub.com/o/Tencent,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,30,HKUDS,Organization,10,287174,287174,https://gitstarclub.com/o/HKUDS,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,31,practical-tutorials,Organization,1,279128,279128,https://gitstarclub.com/o/practical-tutorials,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,32,airbnb,Organization,6,278606,278606,https://gitstarclub.com/o/airbnb,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,33,996icu,User,1,276631,276631,https://gitstarclub.com/o/996icu,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,34,trimstray,User,4,275215,275215,https://gitstarclub.com/o/trimstray,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,35,obra,User,1,271956,271956,https://gitstarclub.com/o/obra,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
