export_schema_version,export_date,data_as_of,rank,login,owner_type,repo_count,current_stars_sum,rank_value,url,source_view,license,attribution
1,2026-06-26,2026-06-26T03:00:32.123Z,1,microsoft,Organization,68,2379474,2379121,https://gitstarclub.com/o/microsoft,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,2,google,Organization,43,920447,920389,https://gitstarclub.com/o/google,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,3,apache,Organization,28,687215,687187,https://gitstarclub.com/o/apache,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,4,openai,Organization,22,672074,671916,https://gitstarclub.com/o/openai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,5,sindresorhus,User,8,652443,652447,https://gitstarclub.com/o/sindresorhus,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,6,codecrafters-io,Organization,1,517473,517473,https://gitstarclub.com/o/codecrafters-io,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,7,huggingface,Organization,18,512160,512106,https://gitstarclub.com/o/huggingface,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,8,vuejs,Organization,11,505020,505023,https://gitstarclub.com/o/vuejs,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,9,alibaba,Organization,24,499513,499508,https://gitstarclub.com/o/alibaba,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,10,react,Organization,4,494099,494099,https://gitstarclub.com/o/react,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,11,anthropics,Organization,9,491973,491295,https://gitstarclub.com/o/anthropics,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,12,freeCodeCamp,Organization,2,488919,488919,https://gitstarclub.com/o/freeCodeCamp,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,13,github,Organization,10,449876,449846,https://gitstarclub.com/o/github,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,14,public-apis,Organization,1,442941,442941,https://gitstarclub.com/o/public-apis,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,15,nilbuild,User,3,431481,431388,https://gitstarclub.com/o/nilbuild,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,16,donnemartin,User,4,428741,428736,https://gitstarclub.com/o/donnemartin,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,17,TheAlgorithms,Organization,7,422582,422582,https://gitstarclub.com/o/TheAlgorithms,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,18,karpathy,User,13,409187,409144,https://gitstarclub.com/o/karpathy,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,19,facebookresearch,Organization,20,396689,396680,https://gitstarclub.com/o/facebookresearch,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,20,EbookFoundation,Organization,1,390557,390527,https://gitstarclub.com/o/EbookFoundation,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,21,openclaw,Organization,1,379539,379539,https://gitstarclub.com/o/openclaw,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,22,vercel,Organization,11,371508,371502,https://gitstarclub.com/o/vercel,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,23,facebook,Organization,17,363105,363098,https://gitstarclub.com/o/facebook,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,24,jwasham,User,1,353270,353088,https://gitstarclub.com/o/jwasham,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,25,tensorflow,Organization,6,337680,337669,https://gitstarclub.com/o/tensorflow,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,26,deepseek-ai,Organization,7,311188,311182,https://gitstarclub.com/o/deepseek-ai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,27,vinta,User,1,304008,303831,https://gitstarclub.com/o/vinta,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,28,awesome-selfhosted,Organization,1,300293,300124,https://gitstarclub.com/o/awesome-selfhosted,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,29,Tencent,Organization,18,296751,296736,https://gitstarclub.com/o/Tencent,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,30,airbnb,Organization,6,278176,278176,https://gitstarclub.com/o/airbnb,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,31,996icu,User,1,276304,276294,https://gitstarclub.com/o/996icu,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,32,practical-tutorials,Organization,1,270134,270134,https://gitstarclub.com/o/practical-tutorials,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,33,trimstray,User,4,265620,265618,https://gitstarclub.com/o/trimstray,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,34,rust-lang,Organization,7,262053,262006,https://gitstarclub.com/o/rust-lang,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,35,HKUDS,Organization,10,244010,243872,https://gitstarclub.com/o/HKUDS,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,36,angular,Organization,6,240547,240548,https://gitstarclub.com/o/angular,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,37,langchain-ai,Organization,6,239574,239401,https://gitstarclub.com/o/langchain-ai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,38,trekhleb,User,3,238777,238775,https://gitstarclub.com/o/trekhleb,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,39,torvalds,User,1,237018,237018,https://gitstarclub.com/o/torvalds,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,40,datawhalechina,Organization,9,234429,234364,https://gitstarclub.com/o/datawhalechina,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,41,obra,User,1,234386,233478,https://gitstarclub.com/o/obra,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,42,ossu,Organization,2,226671,226671,https://gitstarclub.com/o/ossu,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,43,dotnet,Organization,13,225390,225381,https://gitstarclub.com/o/dotnet,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,44,affaan-m,User,1,218933,218338,https://gitstarclub.com/o/affaan-m,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,45,multica-ai,Organization,2,216178,216126,https://gitstarclub.com/o/multica-ai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,46,kubernetes,Organization,6,214570,214566,https://gitstarclub.com/o/kubernetes,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,47,anomalyco,Organization,3,214558,214558,https://gitstarclub.com/o/anomalyco,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,48,n8n-io,Organization,2,208375,208227,https://gitstarclub.com/o/n8n-io,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,49,521xueweihan,User,3,206937,206816,https://gitstarclub.com/o/521xueweihan,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,50,FuelLabs,Organization,4,204890,204894,https://gitstarclub.com/o/FuelLabs,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
